# distribution_name: SCS Type III,
# source_note: SCS-type III 24-hour cumulative distribution - generated from HEC-HMS 4.12,
fraction_time,fraction_cumulative_depth
0.513888889,0.670186807
0.517361111,0.688887556
0.520833333,0.70198808
0.524305556,0.711588464
0.527777778,0.72048882
0.53125,0.728889156
0.534722222,0.736589464
0.538194444,0.743589744
0.541666667,0.74999
0.545138889,0.75599024
0.548611111,0.761790472
0.552083333,0.7674907
0.555555556,0.77299092
0.559027778,0.778391136
0.5625,0.78349134
0.565972222,0.78849154
0.569444444,0.793291732
0.572916667,0.79799192
0.576388889,0.8024921
0.579861111,0.806892276
0.583333333,0.81099244
0.586805556,0.8149926
0.590277778,0.81899276
0.59375,0.822892916
0.597222222,0.826693068
0.600694444,0.830393216
0.604166667,0.834093364
0.607638889,0.837593504
0.611111111,0.841093644
0.614583333,0.84449378
0.618055556,0.847793912
0.621527778,0.851094044
0.625,0.854294172
0.628472222,0.857294292
0.631944444,0.860294412
0.635416667,0.863294532
0.638888889,0.866094644
0.642361111,0.868894756
0.645833333,0.871594864
0.649305556,0.874194968
0.652777778,0.876695068
0.65625,0.879195168
0.659722222,0.88149526
0.663194444,0.883695348
0.666666667,0.88599544
0.670138889,0.888195528
0.673611111,0.890295612
0.677083333,0.892395696
0.680555556,0.894395776
0.684027778,0.896395856
0.6875,0.898395936
0.690972222,0.900296012
0.694444444,0.902196088
0.697916667,0.904096164
0.701388889,0.905896236
0.704861111,0.907796312
0.708333333,0.90949638
0.711805556,0.911296452
0.715277778,0.912896516
0.71875,0.914596584
0.722222222,0.916196648
0.725694444,0.917796712
0.729166667,0.919396776
0.732638889,0.920896836
0.736111111,0.922396896
0.739583333,0.923896956
0.743055556,0.925297012
0.746527778,0.926697068
0.75,0.92799712
0.753472222,0.929297172
0.756944444,0.930697228
0.760416667,0.931897276
0.763888889,0.933197328
0.767361111,0.934597384
0.770833333,0.935797432
0.774305556,0.93699748
0.777777778,0.938297532
0.78125,0.939597584
0.784722222,0.940797632
0.788194444,0.942097684
0.791666667,0.943297732
0.795138889,0.94449778
0.798611111,0.945597824
0.802083333,0.946797872
0.805555556,0.94799792
0.809027778,0.949097964
0.8125,0.950298012
0.815972222,0.95149806
0.819444444,0.952598104
0.822916667,0.953698148
0.826388889,0.954798192
0.829861111,0.955898236
0.833333333,0.95699828
0.836805556,0.958098324
0.840277778,0.959198368
0.84375,0.960298412
0.847222222,0.961298452
0.850694444,0.962298492
0.854166667,0.963398536
0.857638889,0.964398576
0.861111111,0.965398616
0.864583333,0.966398656
0.868055556,0.967398696
0.871527778,0.968398736
0.875,0.969398776
0.878472222,0.970398816
0.881944444,0.971398856
0.885416667,0.972298892
0.888888889,0.973298932
0.892361111,0.974298972
0.895833333,0.975199008
0.899305556,0.976199048
0.902777778,0.977099084
0.90625,0.97799912
0.909722222,0.97899916
0.913194444,0.979899196
0.916666667,0.980799232
0.920138889,0.981599264
0.923611111,0.9824993
0.927083333,0.983399336
0.930555556,0.984299372
0.934027778,0.985199408
0.9375,0.98599944
0.940972222,0.986799472
0.944444444,0.987699508
0.947916667,0.98849954
0.951388889,0.989299572
0.954861111,0.990199608
0.958333333,0.990899636
0.961805556,0.991699668
0.965277778,0.9924997
0.96875,0.993299732
0.972222222,0.994099764
0.975694444,0.994799792
0.979166667,0.995599824
0.982638889,0.996399856
0.986111111,0.997099884
0.989583333,0.997899916
0.993055556,0.998599944
0.996527778,0.999199968
1,1
